Missing burglary outcomes,
Outcome,Target
"Pack of Cuban Cigars x1, Cigar Cutter x1",Tool Shed
"Hammer x1, Jemmy x1, Double Cut File x1",Tool Shed
"Beach Ball x1, Blanket x1",Beach Hut
"Coconut Bra x1, Bikini x1, Towel x1",Beach Hut
Erotic DVD x1,Cottage
Bottle of Minty Mayhem x2,Cottage
"Gas Can x1, Window Breaker x1",Suburban Home
Bottle of Stinky Swamp Punch x2,Farmhouse
"Fisherman Hat x1, Fishing Rod x1",Farmhouse
Small Suitcase x1,Manor House
Tractor Part x1,Manor House
Stash Box x1,Manor House
"Headphones x1, Mix CD x1, Subway Pass x1, Zip Wallet x1",Manor House
"Cannabis x4, Fertilizer x1",Self-Storage Facility
"Ice Pick x1, Sports Shades x1, Snowboard x2",Self-Storage Facility
"CPU x10, HPCPU x5, Water Block x1, Heat Sink x1",Self-Storage Facility
Clutch x1,Funeral Directors
"Snorkel x1, Flippers x1, Wetsuit x1",Funeral Directors
"Small Suitcase x1, Insurance Policy x1, Bank Statement x1, Medical Bill x1",Funeral Directors
"Hammer x1, Gas Can x1, Wrench x1, Double Cut File x1",Market
"Cell Phone x2, CPU x5, Computer Fan x2, PSU x1",Market
Magazine x2,Postal Office
Empty Box x1,Postal Office
"Hard Drive x2, CPU x5, HPCPU x1, Computer Fan x3",Postal Office
Bottle of Mistletoe Madness x3,Liquor Store
Lottery Voucher x4,Liquor Store
Bag of Tootsie Rolls x10,Recruitment Agency
"Hard Drive x3, Personal Computer x1, Empty Box x1, CPU x5",Recruitment Agency
"Opium x1, Xanax x1",Recruitment Agency
Kitten Plushie x7,Dockside Warehouse
Bag of Chocolate Truffles x4,Dockside Warehouse
Horse's Head x1,Farm Storage Unit
"Crowbar x1, Fine Chisel x1, Hoe x1",Farm Storage Unit
PCP x10,Farm Storage Unit
Raw Ivory x1,Shipyard
"Blank DVDs : 100 x1, Erotic DVD x1",Printing Works
"Toner x3, Glue x4",Printing Works
Bottle of Mistletoe Madness x4,Brewery
"eCPU x1, CPU x3, PSU x1",Truckyard
"eCPU x2, CPU x6, Computer Fan x2, PSU x3",Truckyard
